id,mean_steps_weekday,mean_steps_weekend,mean_active_weekday,mean_active_weekend,n_days_weekday,n_days_weekend
1503960366,11871.07142857143,13687.75,34.07142857142857,51,14,4
1624580081,4735.428571428572,3297,1,0,14,4
1644430081,8857.75,10943,14,18,8,2
1844505072,5528.714285714285,4979,1.2857142857142858,0,7,1
1927972279,3011,1891,0,0,7,2
2022484408,11969.222222222223,12792,38.77777777777778,44,9,3
2026352035,3712.8888888888887,2432.3333333333335,0,0,9,3
2320127002,4740.2,4653.333333333333,2,0.3333333333333333,5,3
2347167796,9984.416666666666,13594,12.25,15,12,2
2873212765,7162,10726.5,1.875,23,8,2
2891001357,3094.5,NA,0,NA,2,NA
3372868164,5755.25,7616.5,10,19,8,2
3977333714,8133.333333333333,15004,9.666666666666666,29.5,9,2
4020332650,6043.181818181818,6440.625,5,2.5,22,8
4057192912,5524.9,1962.5,4,0,10,2
4319703577,8290.1,10946,7.1,8,10,1
4445114986,4417.666666666667,5553,4,14,12,2
4558609924,6331.444444444444,4146.666666666667,5.777777777777778,0,9,3
4702921684,8128.666666666667,10803.5,2.6666666666666665,6,12,2
5553957443,8885.555555555555,6762.333333333333,27,13.333333333333334,9,3
5577150313,8124,10787,77.11111111111111,103,9,2
6117666160,9881.333333333334,11599,0.8333333333333334,0,6,2
6290855005,8090.5,NA,12.5,NA,2,NA
6391747486,5933.5,NA,23,NA,2,NA
6775888955,6376,11761,25.833333333333332,24,6,1
6962181067,13280.727272727272,10289.333333333334,33.09090909090909,43.666666666666664,11,3
7007744171,12872.555555555555,10423.666666666666,46.333333333333336,39.666666666666664,9,3
7086361926,8210.142857142857,7345,38.42857142857143,23,7,2
8053475328,16925.5,13797,96.75,79.5,8,2
8253242879,5347,3645.5,15.5,4,4,2
8378563200,9223.666666666666,4870,60.55555555555556,40,9,3
8583815059,3180.8571428571427,2098,0.7142857142857143,0,7,1
8792009665,4224.75,1571.5,2.25,0,8,2
8877689391,18449.88888888889,14318.666666666666,69.44444444444444,59,9,3
