id,days_recorded,mean_steps,median_steps,mean_calories,mean_very_active_min
8877689391,12,17417.083333333332,17585,3451.1666666666665,66.83333333333333
8053475328,11,14844.363636363636,16435,2893.181818181818,84.81818181818181
6962181067,14,12639.714285714286,12458.5,2089.214285714286,35.357142857142854
7007744171,12,12260.333333333334,12126,2627.0833333333335,44.666666666666664
2022484408,12,12174.916666666666,12083.5,2475.3333333333335,40.083333333333336
1503960366,19,11640.526315789473,12041,1796.2105263157894,35.8421052631579
2347167796,15,9800.066666666668,10209,2021.3333333333333,11.8
1644430081,10,9274.8,8983.5,2916.4,14.8
3977333714,12,8663.916666666666,9324,1398.0833333333333,12.166666666666666
5577150313,11,8608.181818181818,9776,3300.2727272727275,81.81818181818181
5553957443,12,8354.75,9429.5,1802.5,23.583333333333332
6117666160,10,8248.6,8711.5,2099.3,0.5
8378563200,12,8135.25,8980.5,3356.1666666666665,55.416666666666664
4702921684,15,7943.4,7583,2821.4666666666667,2.933333333333333
4319703577,12,7820.583333333333,8382,1994.25,6.583333333333333
2873212765,12,6636.583333333333,7423.5,1695.75,5.083333333333333
3372868164,10,6127.5,5823,1860.3,11.8
7086361926,12,6103.916666666667,6790,2177,26.25
4558609924,12,5785.25,5922,1830.1666666666667,4.333333333333333
4020332650,32,5776.59375,5804,3075.375,4.0625
6775888955,9,5559,4131,2724.777777777778,19.88888888888889
4445114986,15,4293.066666666667,4239,2107.8,5.066666666666666
1624580081,19,4226.263157894737,1985,1352.8947368421052,0.7368421052631579
1844505072,12,3640.5833333333335,5147.5,1615.9166666666667,0.75
2026352035,12,3392.75,3139,1355.5,0
2320127002,12,3138.4166666666665,2187.5,1532.0833333333333,0.9166666666666666
8792009665,12,3094.9166666666665,2226.5,2073.6666666666665,1.5
8583815059,8,3045.5,2598,2391.25,0.625
8253242879,12,2389.9166666666665,818,1463,5.833333333333333
1927972279,12,2180.8333333333335,2169.5,2254,0
4057192912,32,1887.21875,13,1903.53125,1.25
6290855005,10,1618.1,0,2165.6,7.8
6391747486,9,1336.888888888889,0,1763.111111111111,5.111111111111111
2891001357,8,773.625,0,2273.375,0
4388161847,8,0,0,1805.25,0
